Date,Open,High,Low,Close,Adj Close,Volume
2006-08-07,87.575996,89.246002,87.120003,89.070000,89.070000,0
2006-08-14,89.029999,89.339996,87.639999,87.779999,87.779999,0
2006-08-21,87.760002,89.165001,87.720001,88.760002,88.760002,0
2006-08-28,88.760002,89.888000,88.620003,89.790001,89.790001,0
2006-09-04,89.790001,89.847000,87.790001,88.120003,88.120003,0
2006-09-11,88.129997,88.960999,87.760002,88.570000,88.570000,0
2006-09-18,88.559998,89.239998,87.279999,87.459999,87.459999,0
2006-09-25,87.464996,88.314003,87.290001,87.980003,87.980003,0
2006-10-02,87.970001,88.550003,87.500000,88.349998,88.349998,0
2006-10-09,88.339996,90.008003,88.139999,89.779999,89.779999,0
2006-10-16,89.800003,90.226997,89.129997,89.959999,89.959999,0
2006-10-23,89.930000,90.830002,89.879997,90.330002,90.330002,0
2006-10-30,90.339996,90.971001,90.059998,90.760002,90.760002,0
2006-11-06,90.764999,91.283997,89.994003,90.029999,90.029999,0
2006-11-13,90.044998,90.790001,89.790001,90.699997,90.699997,0
2006-11-20,90.660004,91.002998,89.849998,90.120003,90.120003,0
2006-11-27,90.129997,91.801003,90.114998,90.919998,90.919998,0
2006-12-04,90.959999,91.896004,90.040001,91.180000,91.180000,0
2006-12-11,91.220001,92.555000,91.180000,92.160004,92.160004,0
2006-12-18,91.550003,94.119003,91.550003,93.029999,93.029999,0
2006-12-25,93.094002,95.792999,92.760002,93.820000,93.820000,0
2007-01-01,93.820000,96.957001,92.279999,92.370003,92.370003,0
2007-01-08,92.400002,94.444000,92.019997,94.352997,94.352997,0
2007-01-15,94.355003,95.860001,94.139999,95.665001,95.665001,0
2007-01-22,95.699997,96.430000,93.285004,94.029999,94.029999,0
2007-01-29,94.055000,94.867996,93.150002,93.660004,93.660004,0
2007-02-05,93.620003,95.146004,93.059998,94.699997,94.699997,0
2007-02-12,94.736000,94.839996,93.389999,93.940002,93.940002,0
2007-02-19,93.930000,96.055000,93.779999,95.820000,95.820000,0
2007-02-26,95.790001,95.853996,90.510002,90.500000,90.500000,0
2007-03-05,90.440002,92.669998,88.480003,92.379997,92.379997,0
2007-03-12,92.389999,93.220001,90.440002,92.580002,92.580002,0
2007-03-19,92.614998,95.403999,92.580002,94.959999,94.959999,0
2007-03-26,95.019997,96.106003,93.809998,95.309998,95.309998,0
2007-04-02,95.339996,97.707001,95.188004,97.400002,97.400002,0
2007-04-09,97.440002,99.889999,97.239998,99.800003,99.800003,0
2007-04-16,99.790001,100.000000,97.500000,99.440002,99.440002,0
2007-04-23,99.430000,99.514000,97.500000,98.750000,98.750000,0
2007-04-30,98.750000,99.432999,97.653000,98.519997,98.519997,0
2007-05-07,98.489998,100.330002,98.480003,100.110001,100.110001,0
2007-05-14,100.110001,100.422997,99.160004,99.779999,99.779999,0
2007-05-21,99.760002,100.333000,98.940002,99.650002,99.650002,0
2007-05-28,99.669998,101.690002,0.334130,101.540001,101.540001,0
2007-06-04,101.529999,103.010002,101.239998,102.580002,102.580002,0
2007-06-11,102.589996,104.040001,102.019997,104.019997,104.019997,0
2007-06-18,104.010002,105.330002,103.709999,105.040001,105.040001,0
2007-06-25,105.019997,105.242996,102.199997,104.820000,104.820000,0
2007-07-02,104.849998,105.930000,104.400002,105.889999,105.889999,0
2007-07-09,105.930000,106.510002,103.838997,106.190002,106.190002,0
2007-07-16,106.190002,110.080002,106.050003,106.699997,106.699997,0
2007-07-23,106.720001,107.260002,99.970001,100.889999,100.889999,0
2007-07-30,100.879997,102.801003,99.459999,100.250000,100.250000,0
2007-08-06,100.260002,103.610001,98.532997,100.110001,100.110001,0
2007-08-13,100.050003,100.480003,86.070000,90.730003,90.730003,0
2007-08-20,90.580002,96.760002,90.309998,96.750000,96.750000,0
2007-08-27,96.760002,96.989998,91.730003,94.889999,94.889999,0
2007-09-03,94.879997,96.431000,92.760002,92.680000,92.680000,0
2007-09-10,93.639999,97.181000,93.440002,96.900002,96.900002,0
2007-09-17,96.879997,100.169998,95.019997,99.970001,99.970001,0
2007-09-24,100.025002,102.029999,98.410004,101.919998,101.919998,0
2007-10-01,101.930000,105.480003,101.680000,105.180000,105.180000,0
2007-10-08,105.199997,106.599998,104.360001,106.300003,106.300003,0
2007-10-15,106.290001,106.809998,100.791000,100.910004,100.910004,0
2007-10-22,100.910004,105.188004,99.500000,105.129997,105.129997,0
2007-10-29,105.160004,107.792000,104.320000,105.260002,105.260002,0
2007-11-05,105.290001,107.153999,99.496002,100.290001,100.290001,0
2007-11-12,100.300003,101.089996,95.750000,99.339996,99.339996,0
2007-11-19,99.410004,99.830002,93.635002,95.709999,95.709999,0
2007-11-26,93.582001,98.578003,93.559998,97.970001,97.970001,0
2007-12-03,97.959999,98.440002,95.230003,97.830002,97.830002,0
2007-12-10,97.769997,99.980003,96.290001,97.720001,97.720001,0
2007-12-17,97.769997,99.059998,96.610001,99.019997,99.019997,0
2007-12-24,99.040001,100.160004,98.079002,98.459999,98.459999,0
2007-12-31,98.519997,98.777000,94.353996,94.769997,94.769997,0
2008-01-07,94.769997,98.349998,94.478996,97.150002,97.150002,0
2008-01-14,97.220001,97.549004,92.750000,94.120003,94.120003,0
2008-01-21,94.129997,95.355003,90.129997,94.010002,94.010002,0
2008-01-28,93.989998,96.547997,93.019997,96.180000,96.180000,0
2008-02-04,96.160004,97.440002,94.190002,96.360001,96.360001,0
2008-02-11,96.410004,98.269997,95.959999,97.989998,97.989998,0
2008-02-18,98.000000,99.500000,97.980003,98.980003,98.980003,0
2008-02-25,98.989998,100.419998,95.820000,96.040001,96.040001,0
2008-03-03,96.000000,97.510002,94.639999,95.040001,95.040001,0
2008-03-10,94.980003,96.269997,91.860001,92.599998,92.599998,0
2008-03-17,92.580002,93.580002,88.169998,89.639999,89.639999,0
2008-03-24,89.639999,92.489998,89.550003,90.610001,90.610001,0
2008-03-31,90.610001,94.379997,90.449997,93.739998,93.739998,0
2008-04-07,93.720001,95.760002,93.400002,93.680000,93.680000,0
2008-04-14,93.690002,97.349998,92.690002,97.059998,97.059998,0
2008-04-21,97.089996,98.393997,96.839996,97.510002,97.510002,0
2008-04-28,97.523003,98.730003,96.230003,98.339996,98.339996,0
2008-05-05,98.379997,99.809998,96.269997,96.599998,96.599998,0
2008-05-12,96.610001,99.709999,96.419998,99.360001,99.360001,0
2008-05-19,99.320000,99.997002,98.879997,99.080002,99.080002,0
2008-05-26,99.086998,101.029999,98.918999,100.720001,100.720001,0
2008-06-02,100.620003,101.990997,99.269997,100.660004,100.660004,0
2008-06-09,100.650002,101.970001,100.500000,101.559998,101.559998,0
2008-06-16,101.592003,102.768997,101.279999,102.362000,102.362000,0
2008-06-23,102.361000,103.669998,101.639999,102.180000,102.180000,0
2008-06-30,102.180000,102.919998,100.940002,102.779999,102.779999,0
2008-07-07,102.760002,103.129997,101.379997,102.980003,102.980003,0
2008-07-14,102.959999,104.070000,101.489998,103.773003,103.773003,0
2008-07-21,103.760002,104.433998,102.139999,102.919998,102.919998,0
2008-07-28,102.919998,103.339996,99.779999,100.000000,100.000000,0
2008-08-04,100.029999,100.879997,96.971001,97.010002,97.010002,0
2008-08-11,97.002998,98.209999,93.130997,95.610001,95.610001,0
2008-08-18,95.589996,96.419998,94.110001,95.360001,95.360001,0
2008-08-25,95.410004,95.470001,92.650002,92.860001,92.860001,0
2008-09-01,92.875999,93.148003,85.129997,89.820000,89.820000,0
2008-09-08,89.849998,90.690002,84.089996,87.010002,87.010002,0
2008-09-15,87.057999,89.771004,81.470001,88.540001,88.540001,0
2008-09-22,88.550003,90.167000,86.879997,88.120003,88.120003,0
2008-09-29,88.150002,88.820000,80.464996,80.905998,80.905998,0
2008-10-06,80.820000,80.849998,63.099998,68.452003,68.452003,0
2008-10-13,68.440002,74.470001,64.857002,69.870003,69.870003,0
2008-10-20,69.919998,72.010002,55.310001,57.820000,57.820000,0
2008-10-27,57.980000,67.900002,55.592999,66.116997,66.116997,0
2008-11-03,66.089996,70.361000,63.619999,68.078003,68.078003,0
2008-11-10,68.089996,69.260002,60.180000,61.360001,61.360001,0
2008-11-17,61.410000,64.070000,56.900002,60.874699,60.874699,0
2008-11-24,60.840000,63.668098,59.200001,62.099998,62.099998,0
2008-12-01,62.000000,62.130001,57.799999,59.995998,59.995998,0
2008-12-08,59.990002,62.610001,58.040001,60.320000,60.320000,0
2008-12-15,60.340000,63.430000,60.110001,60.980000,60.980000,0
2008-12-22,61.012001,62.320000,60.939999,62.000000,62.000000,0
2008-12-29,61.950001,65.908997,61.950001,65.860001,65.860001,0
2009-01-05,65.845001,68.161003,62.792999,62.959999,62.959999,0
2009-01-12,62.978001,63.070000,58.180000,61.930000,61.930000,0
2009-01-19,61.970001,62.152000,56.428398,57.630199,57.630199,0
2009-01-26,57.694500,60.759998,56.860001,56.950001,56.950001,0
2009-02-02,56.982601,62.627499,55.548199,61.959999,61.959999,0
2009-02-09,61.919998,62.691399,58.110001,59.680000,59.680000,0
2009-02-16,59.691002,61.505001,58.450001,60.229000,60.229000,0
2009-02-23,60.202900,64.551102,59.759998,61.639999,61.639999,0
2009-03-02,61.649300,64.757004,61.009998,62.919998,62.919998,0
2009-03-09,62.964600,64.931000,61.487598,64.349998,64.349998,0
2009-03-16,64.375999,66.321098,64.117996,66.314003,66.314003,0
2009-03-23,66.269997,69.525299,66.220001,67.839996,67.839996,0
2009-03-30,67.844597,72.290001,65.019997,71.989998,71.989998,0
2009-04-06,71.980003,73.155998,70.089996,72.473999,72.473999,0
2009-04-13,72.489998,74.396004,70.260002,71.850998,71.850998,0
2009-04-20,71.820000,71.834000,68.040001,69.349998,69.349998,0
2009-04-27,69.385002,72.931999,66.852997,72.666000,72.666000,0
2009-05-04,72.967003,76.956001,71.976997,75.773003,75.773003,0
2009-05-11,75.747002,75.972000,70.677002,71.290001,71.290001,0
2009-05-18,71.285202,74.860001,70.519997,74.070000,74.070000,0
2009-05-25,74.099998,76.871002,73.099998,76.269997,76.269997,0
2009-06-01,76.339996,79.474998,75.930000,78.400002,78.400002,0
2009-06-08,78.379997,80.420998,76.879997,79.667999,79.667999,0
2009-06-15,79.669998,79.669998,75.199997,77.129997,77.129997,0
2009-06-22,77.149002,77.448097,74.029999,76.830002,76.830002,0
2009-06-29,76.847000,78.360001,75.809998,76.167801,76.167801,0
2009-07-06,76.190002,76.589996,70.989998,72.120003,72.120003,0
2009-07-13,72.117996,75.970001,70.750000,75.879997,75.879997,0
2009-07-20,76.648003,77.557999,76.180000,77.268997,77.268997,0
2009-07-27,78.269997,79.440002,77.389999,79.312302,79.312302,0
2009-08-03,80.169998,81.529999,79.650002,81.410004,81.410004,0
2009-08-10,81.126999,81.129997,78.550003,78.550003,78.550003,0
2009-08-17,77.449997,79.328796,77.449997,79.273201,79.273201,0
2009-08-24,78.989998,79.053001,77.750000,78.599602,78.599602,0
2009-08-31,78.370003,79.513802,76.438004,79.449997,79.449997,0
2009-09-07,79.561996,79.813911,77.849998,77.860001,77.860001,0
2009-09-14,78.239998,79.515297,78.169998,79.173203,79.173203,0
2009-09-21,79.419998,79.809998,76.558601,76.807701,76.807701,0
2009-09-28,78.278099,79.525002,77.485001,77.730003,77.730003,0
2009-10-05,78.459999,81.383003,78.459999,81.362000,81.362000,0
2009-10-12,81.390999,84.063004,81.300003,83.246002,83.246002,0
2009-10-19,84.079498,84.940002,83.620003,84.874001,84.874001,0
2009-10-26,84.856003,85.221001,79.449997,80.433296,80.433296,0
2009-11-02,80.459999,83.290001,80.220001,82.709999,82.709999,0
2009-11-09,82.699402,84.190002,82.573196,83.812401,83.812401,0
2009-11-16,83.799797,83.799797,80.625603,81.290001,81.290001,0
2009-11-23,81.370003,82.484001,76.666000,79.014900,79.014900,0
2009-11-30,78.980003,82.970001,78.489998,82.250000,82.250000,0
2009-12-07,82.313797,82.547501,79.239998,81.220001,81.220001,0
2009-12-14,81.306999,81.553001,78.699997,80.379997,80.379997,0
2009-12-21,80.410004,81.070999,79.610001,80.803497,80.803497,0
2009-12-28,80.839996,83.797997,80.830002,83.192001,83.192001,0
2010-01-04,83.180000,86.059998,83.029999,85.887001,85.887001,0
2010-01-11,85.932999,86.179001,83.349998,83.750000,83.750000,0
